Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\sika_revB\Project Outputs for sika_revB\Pick Place for SikaRevB.txt

========================================================================================================================
File Design Information:

Date:       10-10-19
Time:       17:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                     Value Layer       Footprint                                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                        
C6         CL21B105KAFNNNE             ""    BottomLayer C0805                                       3465.827      -2194.856     180      "Cap Ceramic 10%"                                                                                                                                  
C7         CL21B105KAFNNNE             ""    BottomLayer C0805                                       3604.330      -2235.524     90       "Cap Ceramic 10%"                                                                                                                                  
C8         CL10B104KO8NNNC             ""    BottomLayer C0603                                       3750.656      -1849.856     270      "Cap Ceramic 10%"                                                                                                                                  
C9         CL10B104KO8NNNC             ""    BottomLayer C0603                                       3427.663      -1464.856     270      "Cap Ceramic 10%"                                                                                                                                  
C10        CL10C152JB8NNNC             ""    TopLayer    C0603                                       3203.132      -2109.856     90       "Cap Ceramic 10%"                                                                                                                                  
C11        CL10B104KO8NNNC             ""    TopLayer    C0603                                       3514.762      -1956.297     270      "Cap Ceramic 10%"                                                                                                                                  
C23        CL10C160JB8NNNC             ""    TopLayer    C0603                                       2693.897      -2576.508     180      "Cap Ceramic"                                                                                                                                      
C24        CL10C160JB8NNNC             ""    TopLayer    C0603                                       2693.897      -2332.415     180      "Cap Ceramic"                                                                                                                                      
C25        CL10B104KO8NNNC             ""    BottomLayer C0603                                       2532.086      -2579.462     0        "Cap Ceramic 10%"                                                                                                                                  
C26        CL10B104KO8NNNC             ""    BottomLayer C0603                                       2534.457      -2485.110     360      "Cap Ceramic 10%"                                                                                                                                  
C27        CL10B104KO8NNNC             ""    BottomLayer C0603                                       3040.000      -2424.542     180      "Cap Ceramic 10%"                                                                                                                                  
C28        CL10B104KO8NNNC             ""    BottomLayer C0603                                       3035.060      -1940.553     180      "Cap Ceramic 10%"                                                                                                                                  
C29        CL10B104KO8NNNC             ""    BottomLayer C0603                                       2468.510      -2292.062     270      "Cap Ceramic 10%"                                                                                                                                  
C30        CL10B104KO8NNNC             ""    BottomLayer C0603                                       2233.930      -1688.714     270      "Cap Ceramic 10%"                                                                                                                                  
C31        CL21A106MPFNNNE             ""    BottomLayer T_CAPC0805X125N                             2394.684      -2299.934     90       "Capacitor Ceramic X5R 10uF 10V 20% 0805"                                                                                                          
C32        CL10B104KO8NNNC             ""    BottomLayer C0603                                       2295.247      -1688.005     90       "Cap Ceramic 10%"                                                                                                                                  
C33        CL10B104KO8NNNC             ""    BottomLayer C0603                                       2155.000      -2290.037     90       "Cap Ceramic 10%"                                                                                                                                  
C34        CL21A106MPFNNNE             ""    BottomLayer T_CAPC0805X125N                             2224.517      -2288.124     90       "Capacitor Ceramic X5R 10uF 10V 20% 0805"                                                                                                          
C35        CL10B104KO8NNNC             ""    TopLayer    C0603                                       2692.916      -2141.539     360      "Cap Ceramic 10%"                                                                                                                                  
C36        CL21A106MPFNNNE             ""    BottomLayer T_CAPC0805X125N                             2167.322      -1682.808     270      "Capacitor Ceramic X5R 10uF 10V 20% 0805"                                                                                                          
C37        CL10B104KO8NNNC             ""    BottomLayer C0603                                       2571.850      -1685.761     90       "Cap Ceramic 10%"                                                                                                                                  
